"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/1997/08/26/business/key-rates-799955.html","null","1997-08-26","","150","null","The New York Times","Business Day","Statistics","article","Key Rates","Key Rates"
"https://www.nytimes.com/1997/01/03/business/3-retailers-report-weak-holiday-sales.html","Jennifer Steinhauer","1997-01-03","Some of nation's large retail chains report disappointing sales for end of 1996; CompUSA Inc says its sales for last three months of year rose 1.5 percent, far below analysts' predictions; J C Penney Co says December same-store sales rose 6.2 perc...","931","null","The New York Times","Business Day","News","article","3 Retailers Report Weak Holiday Sales","3 Retailers Report Weak Holiday Sales"
"https://www.nytimes.com/1997/04/18/business/monitor-radio-operation-to-end.html","null","1997-04-18","Church of Christ, Scientist has put most of its broadcast operations up for sale and will end Monitor Radio, its money-losing news and public affairs broadcast arm, this summer (S)","167","null","The New York Times","Business Day","News","article","Monitor Radio Operation to End","Monitor Radio Operation to End"
"https://www.nytimes.com/1997/03/25/business/coastal-physician-deal.html","Bloomberg News","1997-03-25","Coastal Physician Group signs financing accord with National Century Financial Enterprises Inc to retire Coastal's outstanding debt and provide working capital (S)","57","null","The New York Times","Business Day","News","article","Coastal Physician Deal","Coastal Physician Deal"
"https://www.nytimes.com/1997/07/22/business/boeing-has-its-feet-on-the-ground.html","Adam Bryant","1997-07-22","Boeing Co is branching out into new areas; company has announced number of new ventures--such as selling corporate jets and training pilots--that suggest that it has decided to stay close to its aerospace roots; most of Boeing's revenues come from...","1534","null","The New York Times","Business Day","Statistics","article","Boeing Has Its Feet on the Ground","Boeing Has Its Feet on the Ground"
"https://www.nytimes.com/1997/07/14/business/hughes-plans-to-introduce-satellite-dish.html","Andrew Sorkin","1997-07-14","Hughes Network Systems to introduce digital satellite system that will be able to receive both television broadcasts and high-speed Internet access through one dish (S)","147","null","The New York Times","Business Day","News","article","Hughes Plans To Introduce Satellite Dish","Hughes Plans To Introduce Satellite Dish"
"https://www.nytimes.com/1997/02/09/world/one-african-takes-fangs-over-fido-as-a-sentry.html","Donald McNeil","1997-02-09","Ben Vermeulen has just founded a company, Respec, for reptile security in Harare, Zimbabwe; Harare is an ideal venue for watchsnakes; Zimbabwe has low rate of violent crime but large number of burglaries (L)","788","null","The New York Times","World","News","article","One African Takes Fangs Over Fido As a Sentry","One African Takes Fangs Over Fido As a Sentry"
"https://www.nytimes.com/1997/11/14/business/international-briefs-rumor-sends-shares-up-at-indonesian-bank.html","Bloomberg News","1997-11-14","Shares of Bank Danamon, one of Indonesia's largest banks, surge as much as 37 percent on speculation that it is takeover target (S)","92","null","The New York Times","Business Day","News","article","Rumor Sends Shares Up At Indonesian Bank","INTERNATIONAL BRIEFS; Rumor Sends Shares Up At Indonesian Bank"
"https://www.nytimes.com/1997/04/06/business/a-scoundrel-or-a-scapegoat.html","Saul Hansell","1997-04-06","Joseph Jett, former superstar bond trader at Kidder, Peabody & Co, has been fighting for three years charges that he engineered $339 million in phony profits; he and his lawyers cite cryptic recorded conversations as evidence that top officials at...","4419","null","The New York Times","Business Day","Biography; Chronology","article","A Scoundrel or a Scapegoat?","A Scoundrel or a Scapegoat?"
"https://www.nytimes.com/1997/06/10/business/tax-proposal-offers-wall-st-some-relief.html","David Johnston","1997-06-10","US House Ways and Means Committee Chairman Repr Bill Archer puts forth wide-ranging tax plan, and his proposals contain some relief that would be welcome on Wall Street: phasing out corporate alternative minimum tax, reducing capital gains for mid...","630","null","The New York Times","Business Day","News","article","Tax Proposal Offers Wall St. Some Relief","Tax Proposal Offers Wall St. Some Relief"
