"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2015/07/30/world/asia/mullah-omar-taliban-death-reports-prompt-inquiry-by-afghan-government.html","Rod Nordland","2015-07-29","Speculation had increased in recent months that the Taliban’s reclusive leader had died in secret, leading some insurgent commanders to break away.","1514","null","The New York Times","World","News","article","Taliban Leader Mullah Omar Died in 2013, Afghans Declare","Afghans Declare Chief of Taliban Died 2 Years Ago"
"https://www.nytimes.com/2015/10/01/world/asia/kunduz-afghanistan-taliban-fight.html","Joseph Goldstein","2015-09-30","The Afghan government was faced with not just retaking Kunduz, the northern city that fell to the Taliban on Monday, but also preventing a nearby city from falling as well.","1371","null","The New York Times","World","News","article","Shaken by Taliban Victory in Kunduz, Afghans Flee Another Provincial Capital","Shaken by Fall of Kunduz, Afghans Now Fear for Neighboring City"
"https://www.nytimes.com/2015/12/10/world/asia/afghanistan-kandahar-suicide-bombers.html","Taimoor Shah","2015-12-09","At least 37 people were killed, including children and civilian hostages, in a long siege at a commercial strip at the Kandahar Airfield’s military base.","505","null","The New York Times","World","News","article","Gunfight at Taliban Hostage Siege in Kandahar Kills Dozens","Gunfight at Taliban Hostage Siege in Kandahar Kills Dozens "
"https://www.nytimes.com/2015/11/06/world/asia/doctors-without-borders-seeks-explanation-for-kunduz-hospital-attack.html","Joseph Goldstein","2015-11-05","The group said that the hospital was clearly marked and that it still had not received an official explanation for the American strikes that killed 30 people on Oct. 3.","1036","null","The New York Times","World","News","article","Doctors Without Borders Says Clues Point to ‘Illegal’ U.S. Strike on Afghan Hospital","Clues Point to &#8216;Illegal&#8217; Strike on an Afghan Hospital, Doctors&#8217; Group Says "
"https://www.nytimes.com/2015/03/09/world/afghan-peace-efforts-reopen-wounds-over-pakistan.html","Mujib Mashal","2015-03-09","President Ashraf Ghani is seeking to pressure the Taliban to join peace talks by intensively courting Pakistan’s military, though critics distrust Pakistan.","1120","null","The New York Times","World","News","article","Afghan Peace Efforts Reopen Wounds Over Pakistan","Afghan Peace Efforts Reopen Wounds Over Pakistan"
"https://www.nytimes.com/2015/03/19/world/asia/car-bomb-targeting-afghan-officials-kills-7-civilians.html","Azam Ahmed","2015-03-18","A huge explosion took place near the provincial governor’s offices in Lashkar Gah, the capital of Helmand Province.","629","null","The New York Times","World","News","article","Car Bomb Targeting Afghan Officials Kills 7 Civilians","7 Civilians Die in Bombing Targeting Afghan Officials"
"https://www.nytimes.com/2015/11/08/world/asia/afghan-mullah-leading-stoning-inquiry-condones-practice.html","Rod Nordland","2015-11-07","A mullah’s theological support for the sort of stoning he is being sent to investigate is emblematic of the national conundrum over the role of Shariah law.","1215","null","The New York Times","World","News","article","Afghan Mullah Leading Stoning Inquiry Condones Practice","Afghan Mullah Leading Stoning Inquiry Condones Practice"
"https://www.nytimes.com/2015/03/21/world/asia/horror-over-womans-lynching-in-afghanistan-but-some-support-too.html","Joseph Goldstein","2015-03-20","Differing responses to the mob killing in Kabul of a mentally troubled woman accused of burning the Quran show how Afghans’ commitment to Islam can clash with Western values of individual rights.","1007","null","The New York Times","World","News","article","A Day After a Killing, Afghans React in Horror, but Some Show Approval","A Day After a Killing, Afghans React in Horror, but Some Show Approval"
"https://www.nytimes.com/2015/09/02/world/asia/pakistan-suicide-bombing-khyber.html","Ismail Khan","2015-09-01","The Pakistani Taliban claimed responsibility for the attack, which also wounded 50 people, in the Khyber tribal region, according to local news reports.","263","null","The New York Times","World","News","article","Suicide Bomber in Pakistan Attacks Government Office, Killing 4","World Briefing | Asia; Pakistan: Bomber Strikes in Northwest"
"https://www.nytimes.com/2015/10/25/world/asia/general-named-to-investigate-us-attack-on-afghan-hospital.html","Mujib Mashal","2015-10-24","The death toll in the bombing raid on a Doctors Without Borders Hospital in Kunduz has risen again, and civilian casualties have been confirmed.","880","null","The New York Times","World","News","article","General to Investigate U.S. Airstrike on Doctors Without Borders Hospital","General to Investigate U.S. Airstrike on Doctors Without Borders Hospital"
"https://www.nytimes.com/2015/10/28/world/asia/earthquake-pakistan-afghanistan.html","Mujib Mashal","2015-10-27","For months, residents have been caught between the Taliban, militias and government forces; a devastating earthquake is adding to the misery.","1212","null","The New York Times","World","News","article","For War-Weary Afghanistan, Earthquake Is Just One More Serving of Misery","For War-Weary Afghans, Earthquake Is Simply One More Serving of Misery "
"https://www.nytimes.com/2015/04/28/world/asia/tears-replace-cheers-in-re-enactment-of-farkhundas-killing-in-afghanistan.html","Rod Nordland","2015-04-28","The fatal attack by a group of men on a woman named Farkhunda, who was falsely accused of burning a Quran, has galvanized women’s activists in the country.","1198","null","The New York Times","World","News","article","Tears Replace Cheers in Re-enactment of Farkhunda’s Killing in Afghanistan","Tears Replace Cheers in Re-enactment of Afghan Woman’s Killing"
"https://www.nytimes.com/2015/07/15/world/asia/for-a-therapist-in-afghanistan-empathy-is-good-medicine.html","Mujib Mashal","2015-07-14","There are a few hundred therapists in Afghanistan, mainly treating women in a nation of people besieged by war, malnutrition, post-traumatic stress, depression and domestic violence.","1403","null","The New York Times","World","News","article","For a Therapist in Afghanistan, Empathy Is Good Medicine","Afghan Therapist Finds Empathy Is Good Medicine"
