"|","|__writer_name","|__pub_date","|__snippet","|__word_count","|__score","|__source","|__section_name","|__type_of_material","|__document_type","|__main_headline","|__print_headline"
"https://www.nytimes.com/2000/04/03/world/the-gypsies-of-slovakia-despised-and-despairing.html","Steven Erlanger","2000-04-03","Slovakia is notorious for its treatment of Gypsies, who make up 10 percent of population; in Rudnany, 500 Gypsies, or Roma, live in old mine buildings, in sickness and squalor, in shadow of factory that shut down when Communism died; discriminatio...","1435","null","The New York Times","World","News","article","The Gypsies of Slovakia: Despised and Despairing","The Gypsies of Slovakia: Despised and Despairing"
"https://www.nytimes.com/2000/12/15/business/media-megadeal-the-impact-consumers-can-expect-more-internet-providers.html","Amy Harmon","2000-12-15","Consumers can expect more Internet providers as result of tough regulations Federal Trade Commission imposed on America Online-Time Warner merger; by requiring merged company to open Time Warner's cable lines to at least three broadband Internet s...","774","null","The New York Times","Business Day","News","article","Consumers Can Expect More Internet Providers","MEDIA MEGADEAL: THE IMPACT; Consumers Can Expect More Internet Providers"
"https://www.nytimes.com/2000/09/02/world/singapore-journal-soapbox-orators-stretch-the-limits-of-democracy.html","Seth Mydans","2000-09-02","Singapore, in experiment in free speech, allows citizens to speak out legally in public without permit in Hong Lim Park; map; photo (M)","1287","null","The New York Times","World","News","article","Singapore Journal; Soapbox Orators Stretch the Limits of Democracy","Singapore Journal; Soapbox Orators Stretch the Limits of Democracy"
"https://www.nytimes.com/2000/03/09/business/the-dot-com-world-opens-new-opportunities-for-women-to-lead.html","Leslie Kaufman","2000-03-09","Women say they are finding opportunities in Internet field that are equal or better than those found in more traditional companies; research firm VentureOne says women were chief executives in about 6 percent of Internet companies that venture cap...","777","null","The New York Times","Business Day","News","article","The Dot-Com World Opens New Opportunities for Women to Lead","The Dot-Com World Opens New Opportunities for Women to Lead"
"https://www.nytimes.com/2000/10/06/world/serbian-opposition-supporters-revel-in-the-streets-of-belgrade.html","null","2000-10-06","BELGRADE, Yugoslavia -- As euphoric, all-night street celebrations of Slobodan Milosevic's apparent political demise wound down, Russia on Friday sent its foreign minister on a delicate mission said to include planned talks with the Yugoslav presi...","878","null","The New York Times","World","News","article","Serbian Opposition Supporters Revel in the Streets of Belgrade","Serbian Opposition Supporters Revel in the Streets of Belgrade"
"https://www.nytimes.com/2000/01/29/business/japan-to-turn-to-direct-loans-from-its-banks.html","Stephanie Strom","2000-01-29","Japanese government stuns economists and market watchers by announcing that it will borrow money directly from banks in order to fulfill its obligations to local governments; amount, roughly $76 billion, is about 2 percent of Japan's gross domesti...","1357","null","The New York Times","Business Day","News","article","Japan to Turn To Direct Loans From Its Banks","Japan to Turn To Direct Loans From Its Banks"
"https://www.nytimes.com/2000/07/01/world/hong-kong-journal-clinic-caters-to-couples-seeking-precious-gem.html","Mark Landler","2000-07-01","Comment on social-phenomenon that is little-discussed but widely prevalent in Hong Kong: determination to control virtually every facet of child-birth; from selecting the sex to scheduling the delivery, people in Hong Kong go to extraordinary leng...","1085","null","The New York Times","World","News","article","Hong Kong Journal; Clinic Caters to Couples Seeking 'Precious Gem'","Hong Kong Journal; Clinic Caters to Couples Seeking 'Precious Gem'"
"https://www.nytimes.com/2000/06/21/technology/lawmakers-open-new-front-in-battle-against-online-casinos.html","null","2000-06-21","Lawmakers Open New Front in Battle Against Online Casinos","557","null","The New York Times","Technology","News","article","Lawmakers Open New Front in Battle Against Online Casinos","Lawmakers Open New Front in Battle Against Online Casinos"
"https://www.nytimes.com/2000/08/28/business/economic-calendar.html","null","2000-08-28","","63","null","The New York Times","Business Day","Schedule","article","Economic Calendar","Economic Calendar"
"https://www.nytimes.com/2000/10/13/business/softbank-sets-up-credit-lines-to-help-raise-money-quickly.html","null","2000-10-13","TOKYO, Oct. 13 — The Softbank Corporation, one of the biggest Internet investment companies, said today that it would establish revolving credit lines with 10 banks for roughly $1.3 billion to provide more flexibility in raising money quickly.","408","null","The New York Times","Business Day","News","article","Softbank Sets Up Credit Lines To Help Raise Money Quickly","Softbank Sets Up Credit Lines To Help Raise Money Quickly"
"https://www.nytimes.com/2000/09/21/business/technology-briefing-internet-high-speed-wireless-services.html","Simon Romero","2000-09-21","Metricom, high-speed wireless Internet company backed by WorldCom and investor Paul Allen, to introduce high-speed wireless Internet service, Ricohet; customers of Ricohet, which costs $75 to $80 a month, get Internet access from laptop computers ...","113","null","The New York Times","Business Day","News","article","HIGH-SPEED WIRELESS SERVICES","TECHNOLOGY BRIEFING: INTERNET; HIGH-SPEED WIRELESS SERVICES"
"https://www.nytimes.com/2000/01/28/business/world-business-briefing-world-trade-us-backed-in-banana-dispute.html","Elizabeth Olson","2000-01-28","World Trade Organization adopts ruling that upholds application of US trade law allowing unilateral imposition of retaliatory trade sanctions; panel says that although law conflicts with global trade rules, its use in banana trade dispute with Eur...","63","null","The New York Times","Business Day","News","article","U.S. BACKED IN BANANA DISPUTE","WORLD BUSINESS BRIEFING: WORLD TRADE; U.S. BACKED IN BANANA DISPUTE"
"https://www.nytimes.com/2000/01/28/world/iraqis-seem-less-hostile-to-new-weapons-inspector.html","Barbara Crossette","2000-01-28","Iraqi officials comment guardedly on choice of Hans Blix as new chief weapons inspector to finish disarming of Pres Saddam Hussein regime (S)","314","null","The New York Times","World","News","article","Iraqis Seem Less Hostile to New Weapons Inspector","Iraqis Seem Less Hostile to New Weapons Inspector"
"https://www.nytimes.com/2000/05/31/world/china-s-high-flying-capitalist-crashes-to-earth.html","Craig Smith","2000-05-31","China's most celebrated private entrepreneur, Mou Qizhong, is sentenced to life in prison for fraud, ending remarkable chapter in nation's fitful march toward market economy; was model of new Chinese capitalist in early 1990's; is accused of defra...","470","null","The New York Times","World","News","article","China's High-Flying Capitalist Crashes to Earth","China's High-Flying Capitalist Crashes to Earth"
